Criterion,Class,MoSCoW,Detailed criterion
Clearly defines boundaries of the evidence-based results,Desirable,Must have,"Clearly outline the criteria used for including and excluding studies in the systematic literature review. This should specify the parameters such as study design, population, interventions, and outcomes."
Clearly defines boundaries of the evidence-based results,Desirable,Must have,"Identify and document any limitations of the evidence base, including gaps, weaknesses, or uncertainties in the studies reviewed. This should highlight the extent to which the findings are robust or tentative."
Clearly defines boundaries of the evidence-based results,Desirable,Must have,"Clearly communicate the boundaries within which the results are valid, including any constraints on the applicability of the findings to different contexts or populations."
Clearly defines boundaries of the evidence-based results,Desirable,Should have,"Discuss how the defined boundaries may influence the interpretation and applicability of the results, and any implications for the conclusions drawn from the review."
Clearly defines boundaries of the evidence-based results,Desirable,Could have,Include visual representations such as diagrams or charts to illustrate the boundaries of the evidence base. This can help readers quickly understand the scope and limitations.
Ensure correctness of the interpretations,Extraordinary,Must have,Ensure that findings are cross-checked with multiple sources
Ensure correctness of the interpretations,Extraordinary,Must have,Сontact primary study authors to verify interpretations and obtain additional details not available in the papers.
Ensure correctness of the interpretations,Extraordinary,Should have,Seek external feedback from independent experts or stakeholders to validate the correctness of interpretations.
Ensure correctness of the interpretations,Extraordinary,Could have,"Use triangulation methods, such as comparing results with other data sources or methodologies, to strengthen the validation of interpretations."
Provides independent preliminary search with multiple researchers,Extraordinary,Must have,Have two or more researchers independently undertake the preliminary search process. This ensures a comprehensive and unbiased identification of relevant literature before finalizing the search scope and keywords.
Provides independent preliminary search with multiple researchers,Extraordinary,Should have,Collaboratively develop the search strategy based on the preliminary findings of each researcher to refine and finalize the search scope and keywords.
Provides independent preliminary search with multiple researchers,Extraordinary,Could have,Seek validation of the search strategy and findings from external experts or advisory boards to ensure completeness and accuracy.
